q_id,answer_content,Correct?
1,"utilização dos rendimentos, em ambos os casos.",true
1,"consumo e investimento, respetivamente.",false
1,"realização de investimentos, em ambos os casos.",false
1,"capital e poupança, respetivamente.",false
2,I; V; II; III; IV,true
2,I; V; IV; III; II,false
2,IV; I; II; V; III,false
2,IV; I; V; III; II,false
3,"do total de impostos sobre a produção, depois de deduzidos os subsídios de exploração.",true
3,dos subsídios à produção de produtos finais e à importação de matérias-primas.,false
3,do consumo de capital fixo/amortização calculado para o conjunto de uma economia.,false
3,dos consumos intermédios realizados nos vários processos produtivos de bens e serviços.,false
4,I e III se referem ao investimento material; a afirmação II refere-se ao investimento financeiro.,true
4,I e II se referem ao investimento financeiro; a afirmação III refere-se ao investimento imaterial.,false
4,I e II se referem ao investimento material; a afirmação III refere-se ao investimento imaterial.,false
4,I e III se referem ao investimento imaterial; a afirmação II refere-se ao investimento material.,false
5,um aumento do preço e uma redução da quantidade procurada dos bens provenientes do país A.,true
5,uma redução do preço e da quantidade procurada dos bens provenientes do país A.,false
5,um aumento do preço e da quantidade procurada dos bens provenientes do país A.,false
5,uma redução do preço e um aumento da quantidade procurada dos bens provenientes do país A.,false
6,a política fiscal dos países da área do euro.,true
6,a taxa de juro diretora para garantir a estabilidade de preços.,false
6,a política orçamental dos países da área do euro.,false
6,a taxa de atualização salarial para impedir o crescimento de preços.,false
7,"consumo final, e o conjunto dos novos autocarros é considerado uma parcela da formação bruta de
capital fixo dessa empresa.",true
7,"consumo final, e o conjunto dos novos autocarros é considerado uma parcela da variação de
existências dessa empresa.",false
7,"investimento material, e o conjunto dos novos autocarros é considerado uma parcela da variação de
existências dessa empresa.",false
7,"investimento material, e o conjunto dos novos autocarros é considerado uma parcela da formação
bruta de capital fixo dessa empresa.",false
8,"os poucos produtores suportam custos de produção iguais, ao comercializarem bens diferenciados.",true
8,"os poucos produtores suportam custos de produção iguais, ao comercializarem bens homogéneos.",false
8,"os muitos produtores comercializam bens diferenciados e, por isso, conseguem influenciar o preço de
venda.",false
8,"os muitos produtores comercializam bens homogéneos e, por isso, conseguem influenciar o preço de
venda.",false
9,economias de escala.,true
9,rendimentos marginais constantes.,false
9,deseconomias de escala.,false
9,rendimentos marginais decrescentes.,false
10,o serviço de vigilância prestado por uma empresa de segurança privada às famílias.,true
10,o valor pago a uma empresa de segurança privada pelo serviço de vigilância prestado às famílias.,false
10,o valor da utilização do fator trabalho pago às famílias por uma empresa de segurança privada.,false
10,o número de horas de trabalho fornecido pelas famílias a uma empresa de segurança privada.,false
11,união aduaneira.,true
11,mercado comum.,false
11,união económica e monetária.,false
11,zona de comércio livre.,false
12,ao reduzir a concorrência no mercado dos iogurtes.,true
12,ao impedir o reforço do poder de mercado da empresa E.,false
12,ao possibilitar a maximização dos lucros pelo monopolista.,false
12,ao aumentar o preço cobrado pela empresa F no mercado.,false
13,definir as orientações e prioridades políticas da União Europeia.,true
13,elaborar a proposta de orçamento da União Europeia.,false
13,aplicar as políticas cambial e monetária da União Europeia.,false
13,analisar as petições dos cidadãos da União Europeia.,false
14,"aplicou a mesada, constituiu um depósito a prazo.",true
14,"utilizou a mesada, enfrentou um problema económico.",false
14,"utilizou a mesada, realizou um investimento financeiro.",false
14,"aplicou a mesada, efetuou a gestão de recursos ilimitados.",false
15,"vencimentos e subsídios, constituem a distribuição funcional dos rendimentos.",true
15,"vencimentos e subsídios, constituem a distribuição pessoal dos rendimentos.",false
15,"lucros e salários, constituem a distribuição funcional dos rendimentos.",false
15,"lucros e salários, constituem a distribuição pessoal dos rendimentos.",false
16,I e III se referem ao investimento e que a afirmação II se refere ao entesouramento.,true
16,I e II se referem ao autofinanciamento e que a afirmação III se refere aos depósitos.,false
16,I e II se referem ao autofinanciamento e que a afirmação III se refere ao investimento.,false
16,I e III se referem ao investimento e que a afirmação II se refere aos depósitos.,false
17,"verdadeira, porque o valor bruto da produção obtido pelas unidades residentes em Portugal é igual ao
valor do PIB português.",true
17,"verdadeira, porque o valor acrescentado bruto é obtido por uma unidade residente no território
económico português.",false
17,"falsa, porque esta unidade industrial de capitais alemães é uma unidade residente no território económico da Alemanha.",false
17,"falsa, porque as vendas de uma empresa constituída por capitais alemães são contabilizadas no PIB
da Alemanha.",false
18,"a débito, na componente rendimento secundário da balança corrente.",true
18,"a crédito, na componente rendimento secundário da balança corrente.",false
18,"a crédito, na balança de capital.",false
18,"a débito, na balança de capital.",false
19,excluível.,true
19,não rival.,false
19,não excluível.,false
19,rival.,false
20,aprovar as leis monetárias europeias e gerir a moeda única.,true
20,financiar investimentos públicos nos países europeus e fixar a taxa de juro.,false
20,estabelecer as taxas de câmbio e definir as orientações políticas da União Europeia.,false
20,definir a política monetária e gerir os fundos da União Europeia.,false
21,"consumo final, e o conjunto dos novos autocarros é considerado uma parcela da formação bruta de
capital fixo dessa empresa.",true
21,"consumo final, e o conjunto dos novos autocarros é considerado uma parcela da variação de
existências dessa empresa.",false
21,"investimento material, e o conjunto dos novos autocarros é considerado uma parcela da variação de existências dessa empresa.",false
21,"investimento material, e o conjunto dos novos autocarros é considerado uma parcela da formação
bruta de capital fixo dessa empresa.",false
22,"os poucos produtores suportam custos de produção iguais, ao comercializarem bens diferenciados.",true
22,"os poucos produtores suportam custos de produção iguais, ao comercializarem bens homogéneos.",false
22,"os muitos produtores comercializam bens diferenciados e, por isso, conseguem influenciar o preço de
venda.",false
22,"os muitos produtores comercializam bens homogéneos e, por isso, conseguem influenciar o preço de
venda.",false
23,economias de escala.,true
23,rendimentos marginais constantes.,false
23,deseconomias de escala.,false
23,rendimentos marginais decrescentes.,false
24,o serviço de vigilância prestado por uma empresa de segurança privada às famílias.,true
24,o valor pago a uma empresa de segurança privada pelo serviço de vigilância prestado às famílias.,false
24,o valor da utilização do fator trabalho pago às famílias por uma empresa de segurança privada.,false
24,o número de horas de trabalho fornecido pelas famílias a uma empresa de segurança privada.,false
25,união aduaneira.,true
25,mercado comum.,false
25,união económica e monetária.,false
25,zona de comércio livre.,false
26,45%,true
26,50%,false
26,57.50%,false
26,62.50%,false
27,0.153,true
27,0.1532,false
27,0.1534,false
27,0.1536,false
28,1/16,true
28,1/15,false
28,1/14,false
28,1/13,false
29,0.7,true
29,1.4,false
29,-0.7,false
29,-1.4,false
30,"40,320",true
30,"80,640",false
30,"967,680",false
30,"1,935,360",false
31,729,true
31,1458,false
31,3645,false
31,6561,false
32,4,true
32,8,false
32,12,false
32,16,false
33,12,true
33,24,false
33,48,false
33,60,false
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,true
,,false
,,false
,,false